Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,179.46,187.79,172.73,187.57,4838700,186.55
2013-11-01,179.81,186.24,177.31,179.68,5192700,178.70
2013-10-01,185.34,186.99,172.57,179.21,5881900,177.28
2013-09-03,183.63,194.89,182.31,185.18,3773300,183.19
2013-08-01,196.65,197.17,181.10,182.27,3445800,180.31
2013-07-01,192.15,200.94,190.26,195.04,4176700,191.98
2013-06-03,208.25,210.05,188.41,191.11,4513500,188.11
2013-05-01,201.87,211.98,199.20,208.02,4346900,204.76
2013-04-01,212.80,214.89,187.68,202.54,5282100,198.43
2013-03-01,200.65,215.90,199.36,213.30,3988600,208.97
2013-02-01,204.65,205.35,197.51,200.83,3622800,196.76
2013-01-02,194.09,208.58,190.39,203.07,4320300,198.12
2012-12-03,190.76,196.45,186.94,191.55,4200200,186.88
2012-11-01,194.68,198.00,184.78,190.07,4134700,185.44
2012-10-01,208.01,211.79,190.56,194.53,4867000,188.96
2012-09-04,196.61,208.32,193.25,207.45,4329000,201.51
2012-08-01,196.96,202.00,193.02,194.85,2775900,189.27
2012-07-02,196.36,197.84,181.85,195.98,4524900,189.56
2012-06-01,190.12,199.99,187.00,195.58,4318300,189.17
2012-05-01,207.18,208.93,192.00,192.90,4331400,186.58
2012-04-02,208.96,210.69,196.79,207.08,4468800,199.46
2012-03-01,197.23,209.12,196.81,208.65,4150500,200.97
2012-02-01,193.21,199.23,190.83,196.73,4196300,189.49
2012-01-03,186.73,193.10,177.35,192.60,5742000,184.79
2011-12-01,187.01,194.90,179.04,183.88,5093600,176.43
2011-11-01,181.55,189.97,177.06,188.00,4992900,180.38
2011-10-03,174.36,190.53,168.88,184.63,7108200,176.44
2011-09-01,172.71,180.91,158.76,174.87,6938200,167.11
2011-08-01,182.60,183.69,157.13,171.91,8744700,164.28
2011-07-01,171.61,185.63,171.49,181.85,6012900,173.03
2011-06-01,168.90,172.45,161.52,171.55,5024900,163.23
2011-05-02,172.11,173.54,165.90,168.93,5710800,160.73
2011-04-01,163.70,173.00,162.19,170.58,5317800,161.58
